season_id,model_id,origin,as_of,match_id,appearance,log_loss,brier,score_nll
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:sheffield-united:swansea-city,1,1.083275951511757,0.6679286972597582,2.6128090057805307
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:west-bromwich-albion:bolton-wanderers,1,1.8323107718557738,1.1489599164241946,3.1785151766937823
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:leeds-united:stoke-city,1,0.962704771655179,0.5790573116469322,3.286388582700381
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:nottingham-forest:west-bromwich-albion,2,1.3571990654646666,0.8281772830403542,2.1306013842745832
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:norwich-city:west-bromwich-albion,3,1.0131787950610582,0.6174843017703333,5.497918148989519
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:brentford,2,1.3862271870388805,0.8544468794294771,2.1597611454108216
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:swansea-city:preston-north-end,2,0.7794414212372187,0.44014787415116824,2.1962505031457438
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:birmingham-city:swansea-city,3,1.3593163040313403,0.8376319124066618,2.5321013196295517
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:preston-north-end:stoke-city,3,1.3547372638423547,0.8313261854982079,3.02696559971596
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:west-bromwich-albion:queens-park-rangers,4,0.6130977349136587,0.31509915020321905,6.9356146941302965
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:swansea-city:leeds-united,4,1.428160099963178,0.9006245782348012,3.0260428135140094
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:wigan-athletic,4,1.5276109752223126,0.9689531456956545,4.4638128517172495
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:middlesbrough:west-bromwich-albion,5,0.7084409178445681,0.3865896776443234,2.213469622102739
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:hull-city,5,0.7149449461751543,0.392345032172419,2.5472458001222393
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:swansea-city:bristol-city,5,1.3225794215429019,0.839562346740062,2.6560678388324854
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:millwall:swansea-city,6,1.1266179354833392,0.6970817392848941,2.6527045097550355
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:west-bromwich-albion:stoke-city,6,0.7996899013567892,0.45668656637965677,2.475187061907861
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:birmingham-city:west-bromwich-albion,7,1.3589509081092557,0.8369786734834729,2.132161848489196
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:sheffield-wednesday:stoke-city,7,1.3725334094411763,0.8415153129890409,2.9925899866847394
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:swansea-city:nottingham-forest,7,1.4457030738511678,0.9254502843799427,2.6556710324246313
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:swansea-city,8,0.8003372284927436,0.4571468365806978,2.3408259007086136
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:west-bromwich-albion:bristol-city,8,0.7068494900003653,0.3856392941895832,4.413421991597662
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:middlesbrough:swansea-city,9,1.4014067758470385,0.8784482335168572,2.596078137421099
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:blackburn-rovers,9,1.3746591056818203,0.871788636176972,4.037947983178203
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:west-bromwich-albion:millwall,9,0.7689599600333493,0.43211782788117065,2.4722255323626667
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:preston-north-end:west-bromwich-albion,10,1.1440587071373223,0.7103449393048744,3.936797131805475
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:rotherham-united:stoke-city,10,1.4206626441577006,0.8886495679934409,3.0211539387986504
2018-2019,generic,preseason,2018-08-03,eng-championship:2018-2019:swansea-city:queens-park-rangers,10,0.6179916031899004,0.3187457043388606,2.8913180563849936
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:sheffield-united:swansea-city,1,1.0235992248807155,0.6200588357210614,2.6176440686842124
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:west-bromwich-albion:bolton-wanderers,1,1.965957140909738,1.2062091789834226,3.3298757586479075
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:leeds-united:stoke-city,1,0.9493465698443686,0.5693122088867884,3.260227724049694
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:nottingham-forest:west-bromwich-albion,2,1.3076455748639468,0.8045789496959712,2.0954305709379546
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:norwich-city:west-bromwich-albion,3,0.9361040690209363,0.5570476685338533,5.834945667383797
2018-2019,mapped,preseason,2018-08-03,eng-championship:2018-2019:stoke-city:brentford,2,1.3892660584402359,0.8551502365344139,2.160962636390021
