season_id,model_id,origin,club_seasons,seasons,points_bias,points_rmse,promoted_club_seasons,promoted_points_bias,promoted_overpredicted,trps,points_crps,points_sd,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,title_brier,top_four_brier,relegation_brier
2022-2023,M2,MW19,20,1,-0.09703000000000124,6.170851445627258,3,-2.5049000000000015,1,0.06776970615789477,3.4810732399999984,5.232911476506692,0.45,7.1,0.75,13.6,0.9,17.3,0.95,20.4,0.017242906000000006,0.042949039,0.14343785125000003
2022-2023,M2,MW30,20,1,-0.0514599999999998,3.573933034347454,3,-1.159833333333334,1,0.031188906184210524,2.053974340999999,3.3724256178170933,0.55,4.65,0.8,8.65,0.95,11.1,0.95,13.05,0.017048641000000003,0.01060866375,0.09180931975
2022-2023,M2,MW6,20,1,-0.2314450000000008,12.468841833767081,3,-7.779600000000002,0,0.13432386780263156,7.836690398500001,6.87839017099189,0.2,9.2,0.4,17.75,0.6,22.6,0.75,27.05,0.0023965790000000033,0.17660009124999998,0.18785852399999997
2022-2023,M2,preseason,20,1,-0.1429150000000014,15.004342748001328,3,-2.2362333333333333,1,0.1671855512894737,9.584031604500003,7.573689901658997,0.25,10.2,0.4,19.3,0.5,24.95,0.7,29.75,0.007151034999999998,0.20836990349999995,0.11848429775
2022-2023,M4,MW12,20,1,-0.19263499999999922,10.491493867772121,3,-5.076566666666666,0,0.1126048534868421,6.260458912499998,7.586472653037068,0.3,10.4,0.6,19.5,0.8,25.0,0.85,29.65,0.0009887180000000002,0.09998550675,0.144233455
2022-2023,M4,MW19,20,1,-0.0797099999999995,5.820142219138636,3,-1.7988666666666664,1,0.0632454667368421,3.31039047,6.1789916399336935,0.6,8.4,0.9,16.1,0.95,20.3,0.95,24.05,0.034544232,0.029105456000000002,0.13204505875
2022-2023,M4,MW30,20,1,-0.03541500000000149,3.4752013369731545,3,-0.7407000000000062,1,0.03020221039473684,1.9892085504999983,3.61731681612284,0.5,5.0,0.9,9.3,0.95,11.9,1.0,13.85,0.024443135999999994,0.009205538999999999,0.08423482899999998
2022-2023,M4,MW6,20,1,-0.10178500000000028,11.581305561140331,3,-5.909533333333332,0,0.11332574898684208,6.851615996500001,9.01705686700182,0.3,12.35,0.65,23.05,0.75,29.65,0.9,35.2,0.0048010089999999984,0.16879223875,0.14048787499999998
2022-2023,M4,preseason,20,1,0.12325500000000104,14.455568027147878,3,-6.319300000000001,0,0.14400799772368425,8.587089160500005,10.517744373397857,0.35,14.4,0.65,27.2,0.75,34.55,0.8,41.05,0.012254463999999998,0.19677607749999998,0.12306798599999999
2022-2023,M5,MW12,20,1,-0.25636500000000095,10.804047743160893,3,-5.281200000000001,0,0.11680011072368421,6.5600686635,7.457531617889563,0.3,10.15,0.55,19.15,0.8,24.45,0.8,29.0,0.001375157000000002,0.10325534475,0.14348904575
2022-2023,M5,MW19,20,1,-0.10679000000000069,5.988327369391223,3,-2.265833333333332,1,0.06323104042105263,3.3826190370000013,6.033010911040916,0.55,8.2,0.8,15.5,0.95,19.9,0.95,23.35,0.025954746,0.034493451,0.13109255575
2022-2023,M5,MW30,20,1,-0.05038999999999945,3.567558321036952,3,-1.074266666666669,1,0.03051687288157895,2.044196037,3.5867903009000885,0.55,4.95,0.85,9.3,0.95,11.8,0.95,13.75,0.021743569,0.00990948475,0.0853335655
2022-2023,M5,MW6,20,1,-0.23408499999999996,11.934958251016212,3,-5.918100000000003,0,0.12012946011842107,7.1568326185,8.768533655725737,0.35,12.0,0.65,22.55,0.8,28.85,0.85,34.35,0.006056166000000003,0.15755908424999998,0.144633131
2022-2023,M5,preseason,20,1,-0.0594250000000013,14.499588894706633,3,-6.0211,0,0.15109304960526318,8.8200560895,10.005465297585697,0.25,13.8,0.55,25.8,0.75,32.95,0.8,39.15,0.013801782999999998,0.18273445475,0.13528245600000002
2022-2023,M7,MW12,20,1,-0.2236800000000006,9.980942953048073,3,-5.234533333333334,0,0.10504019178947369,5.949702251999999,7.213532767923736,0.35,9.8,0.65,18.45,0.8,23.5,0.85,28.1,0.0017547959999999988,0.08897183275000001,0.14114710625000002
2022-2023,M7,MW19,20,1,-0.045100000000000404,5.726884165844459,3,-2.101866666666666,1,0.061266684276315785,3.219822220999999,5.850631277936355,0.65,7.95,0.8,15.05,0.9,19.3,0.95,22.7,0.033922618,0.021368358749999993,0.131117661
2022-2023,M7,MW30,20,1,-0.015654999999999218,3.6234175428040305,3,-1.5339000000000003,1,0.03175689435526316,2.093918649500001,3.5195975998626308,0.55,4.75,0.8,9.0,0.9,11.45,1.0,13.6,0.019210689000000003,0.010074549999999998,0.09018178875
2022-2023,M7,MW6,20,1,-0.18594500000000025,11.72205626200028,3,-5.753599999999999,0,0.11864153093421052,6.904585462500002,8.396848125104475,0.45,11.5,0.65,21.5,0.65,27.65,0.8,32.6,0.0034962212499999997,0.151404345,0.140849569
2022-2023,M7,preseason,20,1,0.011734999999999829,13.765653540805827,3,-4.987466666666663,0,0.13883208418421053,8.218823732499999,9.625020519663034,0.3,13.05,0.7,24.8,0.75,31.75,0.8,37.5,0.010761193,0.19208663075000001,0.13291258975
2023-2024,M2,MW12,20,1,0.48217999999999944,7.237062066266948,3,4.754866666666666,3,0.061657906052631564,4.048580042000001,6.1403236242006365,0.6,8.35,0.7,15.85,0.85,20.25,0.85,24.05,0.004335163,0.042208791749999995,0.016853824999999992
2023-2024,M2,MW19,20,1,0.30888999999999844,6.297143299624045,3,6.020066666666668,3,0.045953893710526314,3.633640075000001,5.262045240369167,0.4,7.1,0.7,13.6,0.8,17.35,0.95,20.45,0.01919405125,0.015780252,0.024443347
2023-2024,M2,MW30,20,1,-0.060300000000000506,4.4534715418423865,3,3.5054666666666656,3,0.04276912075,2.520410911,3.4142251595757265,0.45,4.45,0.7,8.8,0.85,11.35,0.95,13.25,0.04236763275000001,0.026770632250000002,0.007307276
2023-2024,M2,MW6,20,1,0.47793000000000047,8.429085013096023,3,6.777400000000001,3,0.06991598847368422,4.910099357999999,6.734288269633199,0.4,9.05,0.7,17.35,0.8,22.05,0.85,26.2,0.003264104000000001,0.053990938,0.04272048675
2023-2024,M2,preseason,20,1,0.09889500000000062,10.850300617379228,3,17.963,3,0.08797913984210527,6.4063652015,7.505311988432882,0.4,10.25,0.65,19.3,0.7,24.55,0.75,29.4,0.002029664,0.05763087024999999,0.11190121625
2023-2024,M4,MW12,20,1,0.6632249999999982,7.747085215066374,3,5.0787,3,0.06599969265789474,4.363501048500001,7.72909906125621,0.55,10.5,0.7,19.9,0.9,25.5,1.0,30.2,0.010325189750000003,0.037607738,0.01832456999999999
2023-2024,M4,MW19,20,1,0.40061499999999983,6.676799310934843,3,6.0775999999999994,3,0.048289996499999994,3.821697623499999,6.251220692593957,0.5,8.4,0.8,16.1,0.9,20.45,0.95,24.15,0.027467184999999998,0.014511200250000003,0.013928648999999996
