model_id,origin,event,bin_lower,bin_upper,count,mean_prediction,observed_frequency
M4,preseason,top_four,0.7,0.8,5,0.7181599999999999,0.6
M4,preseason,top_four,0.8,0.9,2,0.856425,1.0
M4,preseason,top_four,0.9,1.0,11,0.9413363636363637,0.9090909090909091
M4,preseason,relegation,0.0,0.1,120,0.025625416666666668,0.008333333333333333
M4,preseason,relegation,0.1,0.2,38,0.14617500000000003,0.23684210526315788
M4,preseason,relegation,0.2,0.3,17,0.2566558823529412,0.058823529411764705
M4,preseason,relegation,0.3,0.4,18,0.3545111111111111,0.3888888888888889
M4,preseason,relegation,0.4,0.5,15,0.44405000000000006,0.4666666666666667
M4,preseason,relegation,0.5,0.6,9,0.5413555555555556,0.6666666666666666
M4,preseason,relegation,0.6,0.7,2,0.63495,1.0
M4,preseason,relegation,0.7,0.8,0,,
M4,preseason,relegation,0.8,0.9,1,0.8230999999999999,0.0
M4,preseason,relegation,0.9,1.0,0,,
M5,MW12,pit,0.0,0.1,28,0.04546760506448087,0.12727272727272726
M5,MW12,pit,0.1,0.2,23,0.14569164487764885,0.10454545454545454
M5,MW12,pit,0.2,0.3,20,0.260814379811243,0.09090909090909091
